HH Income,Home Ownership,Ethnicity,dummy for Children,Year Of Residence,Age range,Language,City,County,Zip Code,weekly fee,Deliveryperiod,Nielsen Prizm,reward program,Source Channel,target
"$150,000 - $174,999",RENTER,English,N,23,60-64,English,HUNTINGTON BEACH,ORANGE,92647,$10.00 - $10.99,7Day,YM,5,CustCall,1
"$100,000 - $124,999",OWNER,English,N,36,75 years or more,English,FULLERTON,ORANGE,92835,$3.00 - $3.99,Thu-Sun,FW,0,Kiosk1,0
"$  20,000 - $29,999",OWNER,Scottish (Scotch),Y,19,45-49,English,ANAHEIM,ORANGE,92807,$1.00 - $1.99,SunOnly,FW,0,Crew,0
"Under $20,000",RENTER,Hispanic,N,6,30-34,Spanish,SANTA ANA,ORANGE,92701,$0.01 - $0.50,SunOnly,FE,0,Crew,1
"$125,000 - $149,999",OWNER,Scottish (Scotch),Y,9,45-49,English,FOUNTAIN VALLEY,ORANGE,92708,$1.00 - $1.99,7Day,MM,0,TeleOut,0
"Under $20,000",RENTER,English,N,4,55-59,English,PLACENTIA,ORANGE,92870,$0.01 - $0.50,SunOnly,FE,0,Partner,0
"$  80,000 - $89,999",OWNER,Hispanic,N,10,35-39,Spanish,SANTA ANA,ORANGE,92706,$0 - $0.01,SunOnly,FE,0,Partner,0
"$400,000 - $499,999",OWNER,English,Y,23,65-69,English,LAGUNA HILLS,ORANGE,92651,$10.00 - $10.99,7Day,MW,0,CustCall,1
"$  60,000 - $69,999",RENTER,Korean,N,4,60-64,English,ANAHEIM,ORANGE,92804,$0.01 - $0.50,SunOnly,MM,0,Partner,0
"Under $20,000",RENTER,English,N,4,45-49,English,ANAHEIM,ORANGE,92807,$4.00 - $4.99,7Day,MM,9,CustCall,1
"$200,000 - $249,999",OWNER,Welsh,Y,7,45-49,English,TRABUCO CANYON,ORANGE,92679,$5.00 - $5.99,Thu-Sun,FW,0,CustCall,0
"$  80,000 - $89,999",OWNER,English,Y,6,25-29,English,ORANGE,ORANGE,92867,$0 - $0.01,SunOnly,FM,0,Partner,0
"$150,000 - $174,999",OWNER,English,N,7,65-69,English,ALISO VIEJO,ORANGE,92656,$2.00 - $2.99,7Day,YW,0,Crew,0
"$100,000 - $124,999",OWNER,English,N,9,55-59,English,LOS ALAMITOS,ORANGE,90720,$0.01 - $0.50,SunOnly,MW,0,Partner,1
