iter	RMSE
0	340693.3149
1	329469.6073
2	319024.1901
3	309098.8026
4	299644.5959
5	290582.4029
6	281759.0868
7	273508.5268
8	265791.2305
9	258443.8198
10	251461.549
11	244656.6072
12	238529.0727
13	232196.6363
14	226229.8559
15	220656.1714
16	215223.5432
17	209963.0024
18	204927.5037
19	200266.4979
20	195931.2489
21	191580.4017
22	187569.5703
23	183948.2146
24	180272.8633
25	176800.6018
26	173437.8281
27	170282.4144
28	167218.9275
29	164410.3052
30	161592.775
31	158967.375
32	156356.5118
33	153890.2435
34	151629.1084
35	149498.0542
36	147528.3584
37	145654.5841
38	143990.7207
39	142155.7371
40	140331.4528
41	138556.2565
42	136878.2177
43	135266.8131
44	133702.2163
45	132292.3127
46	130927.2809
47	129581.017
48	128269.4612
49	127059.8873
50	126024.6949
51	124893.412
52	123988.2264
53	122931.0808
54	122140.4691
55	121199.2623
56	120251.9952
57	119343.0263
58	118520.2742
59	117652.4068
60	116956.2886
61	116271.1568
62	115507.307
63	114806.4549
64	114234.733
65	113714.9829
66	113160.3695
67	112640.4576
68	112112.0638
69	111613.9921
70	111164.0944
71	110667.7476
72	110242.0833
73	109813.2382
74	109421.7351
75	109012.9258
76	108703.3287
77	108362.8367
78	108001.7224
79	107700.0142
80	107353.4816
81	107027.4928
82	106699.985
83	106454.0477
84	106212.6744
85	105943.0451
86	105718.0659
87	105484.344
88	105250.6028
89	105040.0261
90	104811.5426
91	104578.6157
92	104358.0018
93	104110.3592
94	103882.9191
95	103727.2233
96	103525.7893
97	103326.5077
98	103154.5971
99	103003.7372
100	102861.5759
101	102729.4422
102	102612.1944
103	102472.7596
104	102324.083
105	102159.2532
106	102031.7896
107	101938.1724
108	101836.14
109	101722.6394
110	101617.5205
111	101492.6838
112	101394.0231
113	101301.0967
114	101183.9103
115	101074.6039
116	100990.3398
117	100901.1104
118	100831.4639
119	100733.1093
120	100640.3846
121	100558.8427
122	100483.0669
123	100397.8514
124	100335.9095
125	100269.1633
126	100199.0363
127	100129.0638
128	100054.73
129	100001.1108
130	99943.15309
131	99882.72526
132	99808.9103
133	99764.57033
134	99706.53747
135	99653.81806
136	99607.52064
137	99556.64301
138	99495.42032
139	99443.69515
140	99395.34325
141	99347.45463
142	99312.94381
143	99264.9056
144	99215.6987
145	99159.30541
146	99106.22687
147	99063.70187
148	99024.56875
149	98976.80168
150	98934.73858
151	98892.52495
152	98857.45196
153	98815.99905
154	98778.51253
155	98732.63742
156	98698.60797
157	98656.36242
158	98620.313
159	98587.58154
160	98560.22736
161	98522.04002
162	98479.15588
163	98443.9567
164	98405.33195
165	98367.42063
166	98332.36167
167	98293.53264
168	98255.28994
169	98220.74552
170	98186.64495
171	98149.79224
172	98114.18911
173	98071.75319
174	98042.47377
175	98012.61196
176	97967.19331
177	97938.01227
178	97902.49464
179	97853.55512
180	97818.69851
181	97785.82239
182	97755.35706
183	97729.86947
184	97696.72639
185	97674.55902
186	97645.05488
187	97618.06031
188	97587.14162
189	97551.15083
190	97513.59466
191	97473.48027
192	97433.70902
193	97404.24318
194	97379.95199
195	97341.41417
196	97311.7942
197	97277.42526
198	97232.70919
199	97203.4283
200	97160.26368
201	97119.70855
202	97087.23477
203	97056.47556
204	97030.96944
205	97001.0662
206	96969.97218
207	96920.55307
208	96893.00231
209	96864.37169
210	96834.68243
211	96807.25394
212	96775.86855
213	96749.27417
214	96712.92347
215	96676.17352
216	96654.91247
217	96614.57277
218	96560.56405
219	96521.97361
220	96492.16742
221	96463.33818
222	96437.67226
223	96412.23744
224	96367.18783
225	96336.89611
226	96276.23352
227	96230.20967
228	96206.3872
229	96174.1203
230	96150.34989
231	96115.06832
232	96093.50535
233	96068.68548
234	96038.85019
235	96013.30181
236	95994.68739
237	95963.25902
238	95919.54981
239	95888.15421
240	95865.85598
241	95825.95304
242	95795.47217
243	95757.8607
244	95725.62424
245	95699.92881
246	95662.42505
247	95625.49901
248	95585.60029
249	95557.0416
250	95519.67141
251	95477.49359
252	95436.56061
253	95406.65382
254	95376.48395
255	95325.26803
256	95297.5938
257	95279.017
258	95248.94589
259	95206.35477
260	95165.47866
261	95127.61833
262	95101.11004
263	95063.36891
264	95021.66176
265	94997.27105
266	94973.90341
267	94930.30866
268	94884.11387
269	94847.52361
270	94813.37914
271	94786.44236
272	94751.76932
273	94714.99955
274	94684.01175
275	94652.28742
276	94615.73425
277	94590.64151
278	94559.98871
279	94534.95581
280	94499.39259
281	94466.77599
282	94434.28119
283	94416.49267
284	94387.33305
285	94349.6376
286	94319.61884
287	94271.63852
288	94240.82825
289	94220.42744
290	94199.02012
291	94170.34133
292	94141.39949
293	94095.81053
294	94053.22238
295	94029.59637
296	93983.82709
297	93949.32941
298	93911.85271
299	93872.06599
300	93833.22098
301	93802.65723
302	93773.6139
303	93745.5871
304	93704.61196
305	93672.19372
306	93650.16793
307	93607.54485
308	93582.62758
309	93540.95284
310	93483.26134
311	93461.58521
312	93407.1151
313	93360.90305
314	93329.96814
315	93288.56905
316	93268.25659
317	93239.42514
318	93213.52795
319	93171.91491
320	93138.32209
321	93106.99864
322	93071.85442
323	93048.11525
324	93027.96477
325	92980.10554
326	92953.29628
327	92926.84324
328	92884.53201
329	92854.05134
330	92826.50328
331	92788.87414
332	92748.80567
333	92734.51563
334	92712.21765
335	92687.67029
336	92662.98464
337	92638.44778
338	92609.91708
339	92589.90518
340	92564.95951
341	92541.43173
342	92519.05003
343	92494.77323
344	92468.98622
345	92444.67882
346	92423.04259
347	92380.60659
348	92350.00825
349	92328.12289
350	92300.25493
351	92281.68596
352	92246.04031
353	92221.38026
354	92197.11879
355	92171.93023
356	92149.33883
357	92125.37108
358	92095.27557
359	92076.44963
360	92050.95238
361	92026.7796
362	91999.63742
363	91965.19834
364	91917.76805
365	91889.56533
366	91859.0813
367	91822.77058
368	91766.95962
369	91713.63776
370	91664.54226
371	91641.12562
372	91608.53403
373	91589.22262
374	91546.01407
375	91520.71893
376	91495.89975
377	91471.45145
378	91442.61318
379	91419.62847
380	91387.7691
381	91367.41148
382	91338.34616
383	91301.84865
384	91274.32394
385	91253.61096
386	91214.15208
387	91178.28461
388	91156.54594
389	91131.72893
390	91101.16206
391	91076.96802
392	91049.69555
393	91020.04395
394	90997.18136
395	90967.75912
396	90944.21302
397	90913.66105
398	90878.45224
399	90862.44488
400	90843.69679
401	90817.75762
402	90773.68603
403	90745.79713
404	90699.03004
405	90675.70022
406	90650.45452
407	90617.08104
408	90595.17438
409	90559.62617
410	90536.93636
411	90513.59869
412	90478.48886
413	90461.04151
414	90442.60018
415	90423.09111
416	90390.13693
417	90354.77399
418	90322.14261
419	90293.65933
420	90268.71596
421	90228.3289
422	90190.31334
423	90161.70686
424	90130.64748
425	90110.08879
426	90074.94782
427	90049.94732
428	90017.05274
429	89994.62574
430	89978.49344
431	89951.77895
432	89930.05169
433	89894.69356
434	89869.49491
435	89833.11034
436	89799.86425
437	89781.996
438	89764.50104
439	89748.58228
440	89720.81669
441	89696.56092
442	89654.97501
443	89627.90725
444	89602.66224
445	89575.33886
446	89553.73395
447	89500.67137
448	89466.9911
449	89423.33247
450	89395.69157
451	89374.52828
452	89345.52919
453	89324.19813
454	89294.84531
455	89277.91827
456	89229.4967
457	89199.07518
458	89163.49061
459	89139.50691
460	89110.79089
